"time","name","x","y","direction","nextX","nextY","nextDirection"
"0.0","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.5","1.25","270.0"
"0.0","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5","2.25","180.0"
"0.0","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5000489","2.24","179.72"
"0.02","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5000978","2.23","179.72"
"0.04","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5001025","2.22","179.972"
"0.06","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5001514","2.21","179.72"
"0.08","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5001953","2.2","179.748"
"0.1","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5002441","2.19","179.72"
"0.12","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5002832","2.18","179.776"
"0.14","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5002491","2.17","180.196"
"0.16","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.500215","2.16","180.196"
"0.18","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.500264","2.15","179.72"
"0.2","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5003128","2.14","179.72"
"0.22","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5003128","2.13","180.0"
"0.24","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5003128","2.1200001","180.0"
"0.26","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5003273","2.1100001","179.916"
"0.28","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5002785","2.1000001","180.28"
"0.3","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5002832","2.0900002","179.972"
"0.32","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.500259","2.0800002","180.14"
"0.34","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.500259","2.0700002","180.0"
"0.36","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.500259","2.0600002","180.0"
"0.38","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5002882","2.0500002","179.832"
"0.4","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5002882","2.0400002","180.0"
"0.42","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5002882","2.0300002","180.0"
"0.44","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5002882","2.0200002","180.0"
"0.46","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5002882","2.0100002","180.0"
"0.48","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.500259","2.0000002","180.168"
"0.5","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5002542","1.9900002","180.028"
"0.52","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.50022","1.9800003","180.196"
"0.54","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5002005","1.9700003","180.112"
"0.56","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5001762","1.9600003","180.14"
"0.58","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5001762","1.9500003","180.0"
"0.6","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5001519","1.9400003","180.14"
"0.62","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5001276","1.9300003","180.14"
"0.64","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5001228","1.9200003","180.028"
"0.66","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5001228","1.9100003","180.0"
"0.68","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5001228","1.9000003","180.0"
"0.7","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5001032","1.8900003","180.112"
"0.72","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5000837","1.8800004","180.112"
"0.74","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5000641","1.8700004","180.112"
"0.76","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5000496","1.8600004","180.084"
"0.78","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5000496","1.8500004","180.0"
"0.8","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5000496","1.8400004","180.0"
"0.82","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5000253","1.8300004","180.14"
"0.84","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5000253","1.8200004","180.0"
