"startTime","name","startX","startY","startDirection","endTime","endX","endY","endDirection","diffX","diffY","diffD","Radius1","Radius2","robotDist","leftMotorDist","rightMotorDist","leftMotorSpeed","rightMotorSpeed"
"0.0","test","1.0","3.75","180.0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.0","NaN","NaN","NaN","NaN"
"0.0","test","1.0","3.75","180.0","0.02","1.0","3.7400000002235174","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.4999999888241291","0.4999999888241291"
"0.02","test","1.0","3.7400000002235174","180.0","0.04","1.0","3.730000000447035","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.4999999888241291","0.4999999888241291"
"0.04","test","1.0","3.730000000447035","180.0","0.06","1.0","3.7200000006705523","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412916","0.49999998882412916"
"0.06","test","1.0","3.7200000006705523","180.0","0.08","1.0","3.7100000008940697","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.499999988824129","0.499999988824129"
"0.08","test","1.0","3.7100000008940697","180.0","0.1","1.0","3.700000001117587","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.499999988824129","0.499999988824129"
"0.1","test","1.0","3.700000001117587","180.0","0.12","1.0","3.6900000013411045","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.4999999888241293","0.4999999888241293"
"0.12","test","1.0","3.6900000013411045","180.0","0.14","1.0","3.680000001564622","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"0.14","test","1.0","3.680000001564622","180.0","0.16","1.0","3.6700000017881393","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.4999999888241293","0.4999999888241293"
"0.16","test","1.0","3.6700000017881393","180.0","0.18","1.0","3.6600000020116568","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.4999999888241293","0.4999999888241293"
